Content,Video title,Video publish time,Duration,Engaged views,Subscribers,Average percentage viewed (%),Impressions,Impressions click-through rate (%),Unique viewers,Average views per viewer,Returning viewers,Shares,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Views,Watch time (hours),Average view duration
I4HCwv0jtlw,The Gift of Concussion,"Sep 21, 2023",170,30,,53.49,547,2.19,,,,0,0,0,3,0,100,0,30,0.7578,0:01:30
JH9ZmQD_tiI,The Bigger Blue,"Sep 21, 2023",297,30,,45.94,417,2.64,,,,0,0,0,1,0,100,0,30,1.1371,0:02:16
H6GzGtayL4E,Laundrymat,"Sep 30, 2023",180,28,,57.65,492,1.63,,,,0,0,0,2,0,100,0,28,0.8072,0:01:43
e0mZtYptPtA,Sasebo Japan December 1996,"Sep 21, 2023",167,28,,63.28,340,3.53,,,,0,0,0,2,0,100,0,28,0.8219,0:01:45
RV85hoQ9uG4,Another Another Forgotten Memory,"Sep 11, 2025",224,27,,75.26,1011,0.99,,,,0,0,0,2,0,100,0,27,1.2644,0:02:48
ZMKFhVoyuW4,Songbird,"Sep 22, 2023",185,26,,62.69,416,2.88,,,,0,0,0,2,0,100,0,26,0.8376,0:01:55
azoF6n3alGs,On the Sly,"Sep 21, 2023",164,26,,64.45,321,2.8,,,,0,0,0,1,0,100,0,26,0.7634,0:01:45
 -I7StRcDbBg,Step Outside,"Sep 12, 2025",210,25,,88.47,220,1.82,,,,1,0,0,2,0,100,0,25,1.2902,0:03:05
1uDnthRGkuU,Anyone for Chess? (New Years Eve 1999),"Sep 27, 2023",138,25,,67.97,447,1.34,,,,0,0,0,2,0,100,0,25,0.6514,0:01:33
5om-kLkrIX0,Something Fine,"Sep 21, 2023",233,25,,49.93,360,2.22,,,,0,0,0,2,0,100,0,25,0.8079,0:01:56
BNBVTaIXag0,Resigned,"Jan 12, 2024",198,25,,53.55,1362,1.25,,,,0,0,0,4,0,100,0,25,0.7364,0:01:46
pl7jN7g3rkI,Accountants in Other Worlds,"Jun 28, 2024",151,25,,61.8,536,1.12,,,,0,0,0,2,0,100,0,25,0.6481,0:01:33
0PtbNKg_qf8,That Entire Ordeal Sucked,"Sep 11, 2025",258,24,,79.95,275,3.27,,,,1,0,0,4,0,100,0,24,1.3751,0:03:26
7ghQhe5l5w0,Sun Hung Low,"Sep 21, 2023",163,24,,57.79,639,2.35,,,,0,0,0,1,0,100,0,24,0.628,0:01:34
gqzAIVtVht8,Broken Heartzs Were Always Smashed to Bitzs,"Sep 21, 2023",197,24,,58.95,396,1.77,,,,1,0,0,1,0,100,0,24,0.7743,0:01:56
1YUt2ftNK2k,The Long Way,"Oct 16, 2023",277,23,,86.12,222,3.6,,,,0,0,0,2,0,100,0,23,1.5241,0:03:58
6J5OmtGA6l0,Potion of Flow,"Sep 18, 2025",204,23,,63.67,320,3.75,,,,0,0,0,2,0,100,0,23,0.8298,0:02:09
FcEP46V_9IM,the return of el ligardo | submarine run,"Nov 14, 2025",18,22,0,136.9,9,66.67,,,,,,,,,,,130,0.1876,0:00:24
dSsiU7gCQ_A,Take Me to Your Island,"Sep 22, 2023",446,22,,24.64,353,2.55,,,,0,0,0,2,0,100,0,22,0.6715,0:01:49
L6Lzr8Fk-L0,[Quarter Impulse Power],"Sep 15, 2025",293,21,,77.92,491,1.63,,,,0,0,0,3,0,100,0,21,1.3318,0:03:48
NRm6DSRdZio,Feelin' fine (Syke Yah Syko),"Sep 12, 2025",232,21,,82.64,188,5.85,,,,3,0,0,2,0,100,0,21,1.1184,0:03:11
ajOcZ4p9-Kk,What I Was Thinking While I Was Drowning,"Sep 21, 2023",130,20,,70.8,403,1.99,,,,0,0,0,0,0,,0,20,0.5113,0:01:32
a1duPCV6nCg,Grass,"Sep 15, 2025",302,19,,73.68,459,0.87,,,,0,0,0,3,0,100,0,19,1.1744,0:03:42
i70XIPW4HLw,Potion of Flow (But with the Proper Ending...),"Sep 18, 2025",319,18,,67.81,341,1.76,,,,1,0,0,2,0,100,0,18,1.0816,0:03:36
beEVciELNbQ,The Long Way,"Sep 24, 2023",343,17,,43.72,419,2.63,,,,0,0,0,2,0,100,0,17,0.7081,0:02:29
uRbSmT4FF8Q,Tennessee,"Sep 11, 2023",409,15,,87.07,191,3.66,,,,0,0,0,2,0,100,0,15,1.4838,0:05:56
U_NFwAI4808,Dumb Instrumental 7,"Oct 25, 2023",160,14,,49.56,344,2.62,,,,0,0,0,1,0,100,0,14,0.3084,0:01:19
sFwPCUv_-OQ,Royale With Extra Cheese,"Jan 4, 2024",104,14,,36.29,1935,0.67,,,,0,0,0,1,0,100,0,14,0.1468,0:00:37
MpUjF18j7B0,I Can Almost Crash,"Dec 30, 2022",193,13,,16.74,443,1.35,,,,0,0,0,1,0,100,0,13,0.1167,0:00:32
AUNHKEQkbaE,Sippin’ on Kerosene,"Jun 27, 2023",199,12,,36.11,159,3.77,,,,0,0,0,2,0,100,0,12,0.2395,0:01:11
