Content,Video title,Video publish time,Duration,Engaged views,Subscribers,Average percentage viewed (%),Impressions,Impressions click-through rate (%),Unique viewers,Average views per viewer,Returning viewers,Shares,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Views,Watch time (hours),Average view duration
3XwbcGbf26c,The Sun King (Dreamier Mix),"Oct 28, 2023",246,123,,39.3,3097,2.62,,,,2,0,0,7,0,100,0,123,3.3032,0:01:36
GLGZunw89aU,When I Was Dead,"Feb 18, 2024",259,123,,21.33,9616,0.93,,,,0,0,0,2,1,66.67,0,123,1.8879,0:00:55
mmcxELYTZ5o,No Way Home (Rifoff Bit),"Feb 5, 2024",167,123,,31.86,10387,0.86,,,,0,0,0,5,0,100,0,123,1.8178,0:00:53
LPJafUJZwhE,Still Stranded in the Neutron Zone,"Feb 19, 2024",241,120,,23.63,5109,1.41,,,,1,0,0,4,1,80,1,120,1.8982,0:00:56
daMbV3w7t34,New Old Story Blues,"Feb 17, 2024",228,120,,23.4,6832,1.07,,,,0,0,0,1,0,100,0,120,1.7784,0:00:53
E7MpURFBaAI,Me and My Blues and My Bluesuede Shoes Too,"Dec 13, 2023",498,119,,34.3,5558,1.26,,,,2,0,0,2,1,66.67,1,119,5.647,0:02:50
FfbL5OKqGLs,Solar Plexus Moridium,"Sep 18, 2024",198,117,,67.49,3446,0.49,,,,0,0,0,4,1,80,0,117,4.343,0:02:13
gv12QJRJxMU,Long Way Left to Go,"Apr 9, 2024",398,117,,30.97,7186,1.02,,,,0,0,0,2,1,66.67,1,117,4.0059,0:02:03
inkNvLR9xEE,Bee and Bird and Sunflower,"Oct 8, 2024",191,117,,63.25,3973,0.43,,,,0,0,0,2,0,100,0,117,3.926,0:02:00
maQnAYd76ck,Next Song Record,"Sep 30, 2024",164,117,,71.61,1628,2.03,,,,0,0,0,4,0,100,0,117,3.8165,0:01:57
U8_ukls3lyw,An Ed Wood Production,"Sep 21, 2024",134,116,,91.85,827,6.41,,,,0,0,0,4,0,100,0,116,3.9657,0:02:03
buSFtWtPXGM,There Were Times When I Was so Lonesome That I Took Some Comfort There,"Aug 28, 2024",179,116,,64.32,2052,2.24,,,,0,0,0,5,0,100,0,116,3.7101,0:01:55
wK6hLosqM9M,Outside Looking In,"Jan 29, 2025",220,115,,44.23,4955,1.05,,,,0,0,0,4,1,80,0,115,3.1085,0:01:37
ubD9jv3nE4c,Spindly Legs,"Sep 17, 2024",146,112,,71.11,1148,3.48,,,,1,0,0,4,0,100,0,112,3.23,0:01:43
AqfYwJW_7Vk,Clippership from Heroine,"Sep 10, 2024",266,110,,46.78,5817,0.76,,,,0,0,0,3,0,100,0,110,3.8018,0:02:04
CjwA80vi_34,Crazy Life,"Feb 23, 2024",198,110,,35.03,6918,1.08,,,,1,0,0,6,0,100,1,110,2.1191,0:01:09
GpGX1EozKsA,As I Lay Down Dying,"Aug 26, 2024",216,109,,52.89,4528,0.99,,,,0,0,0,5,0,100,0,109,3.4589,0:01:54
AYfLaOB1vdc,The Rivers Bones,"Aug 26, 2024",140,107,,75.47,1892,1.43,,,,1,0,0,5,0,100,0,107,3.1404,0:01:45
JnHkO2_4HKw,Green and Yellow,"Jan 2, 2024",192,106,,32.77,3636,1.6,,,,0,0,0,4,0,100,0,106,1.8524,0:01:02
UiH3vBo7aXk,Table for One Please,"Sep 15, 2024",152,106,,83.96,909,3.41,,,,0,0,0,4,0,100,0,106,3.7579,0:02:07
GPN0Xck9hrU,I Shall Not Be Released (Same Kind of Smell),"Feb 7, 2025",335,104,,55.91,3099,1.13,,,,0,0,0,3,2,60,0,104,5.4104,0:03:07
8mymm7mRg20,Sea Level,"Mar 1, 2024",284,101,,38.76,7100,0.96,,,,1,0,0,2,0,100,0,101,3.0884,0:01:50
Ij_jvy9-Uts,Stranded in the Neutron Zome,"Feb 14, 2024",262,101,,25.16,6693,1.12,,,,3,0,0,4,1,80,0,101,1.8491,0:01:05
y6sk9AyJDqc,Sasebo Japan December 1996,"Jul 15, 2025",179,99,,68.29,1776,1.69,,,,0,0,0,4,0,100,0,99,3.3616,0:02:02
4BHwylJr27g,Fell in Love at the Movies Again,"Jan 20, 2024",97,98,,38.5,5154,1.28,,,,0,0,0,6,0,100,1,98,1.0166,0:00:37
21hpVnTu1LQ,dare you to walk on hot coal - the return of el ligardo,"Oct 4, 2025",18,97,0,114.29,521,4.03,,,,10,0,0,2,1,66.67,6,337,0.6135,0:00:20
CzDo2z6KqGY,Weather the Weather,"Dec 15, 2023",135,97,,76.53,4092,1.22,,,,0,0,0,4,0,100,0,97,2.7836,0:01:43
bhB8eyLsWII,One Hundred Days,"May 11, 2024",347,97,,33.59,3111,1.61,,,,0,0,0,3,0,100,0,97,3.1404,0:01:56
HB6P8qmM9lE,Sour Grapes,"Jan 14, 2024",79,96,,49.07,6075,1.05,,,,0,0,0,8,0,100,0,96,1.0337,0:00:38
TUeFKyyLpWU,Fix a Broken Heart with Glue and Change Your Latitude Too,"Jul 21, 2024",575,96,,48.01,3484,1.38,,,,0,0,0,3,0,100,0,96,7.3611,0:04:36
Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,96,1,90.61,185,1.62,,,,0,1,0,1,0,100,0,407,0.5432,0:00:16
sOoKDW0_Jkw,Pretty Average Dumb Song,"Oct 3, 2024",184,94,,74.13,1845,0.76,,,,1,0,0,2,1,66.67,0,94,3.5615,0:02:16
sa4HBwbFGwg,underwater breathing is hard - lidro larâgos,"Oct 1, 2025",33,93,0,55.74,508,1.18,,,,5,0,0,0,0,,3,337,0.5656,0:00:18
AUz9rWAkKmg,Its You,"Sep 21, 2023",75,92,,44.95,2182,2.66,,,,0,0,0,2,0,100,0,92,0.8615,0:00:33
Iys_FBp6Y-Q,Hobnail Boots for Bitterly Cold Britain,"Jul 17, 2025",246,92,,67.27,2368,1.77,,,,0,0,0,3,0,100,0,92,4.229,0:02:45
MWB1_IcZN1k,Just Like Austin Danger Powers I Too Once Lost My Mojo,"May 15, 2024",104,92,,63.49,3731,1.07,,,,0,0,0,2,0,100,0,92,1.6873,0:01:06
uRxdP9a2tu4,Wheatfield,"Sep 10, 2024",181,91,,65.4,1753,1.94,,,,0,0,0,2,0,100,0,91,2.9923,0:01:58
OscqdnXk37c,Put on Your Happy Face,"Oct 3, 2024",244,90,,65.45,1227,1.14,,,,0,0,0,2,0,100,0,90,3.9922,0:02:39
SV3FiH_FHF8,Almost Transparent Blue,"Jan 24, 2025",239,89,,64.63,2441,0.86,,,,0,0,0,4,1,80,0,89,3.8185,0:02:34
ZZmhH0f6g58,Grass (Coda),"Jul 2, 2025",158,88,,68.62,2108,1.38,,,,0,0,0,3,0,100,0,88,2.6503,0:01:48
V1v8x9YzvH4,Said You Wanted,"Aug 7, 2024",263,87,,49.15,5388,0.95,,,,0,0,0,4,1,80,0,87,3.1237,0:02:09
YlEIwGnJm7s,Set Fire to the Sun,"Feb 18, 2024",237,87,,28.42,5483,0.98,,,,2,0,0,2,1,66.67,0,87,1.6277,0:01:07
xNMOJdmpBig,Chinese Puzzle,"May 26, 2024",163,85,,55.81,1733,1.67,,,,0,0,0,3,0,100,0,85,2.1479,0:01:30
G93WUJE0vpo,I Can Almost Crash,"Jul 16, 2024",333,84,,41.34,1889,2.86,,,,0,0,0,3,1,75,0,84,3.2124,0:02:17
lsoowX67K9w,Dodging Bullets,"Jan 18, 2024",186,84,,23.46,6738,1.02,,,,0,0,0,5,0,100,0,84,1.018,0:00:43
Mslg52jSCYE,Welcome to the Neighborhood Sucker,"Feb 24, 2024",283,82,,28.48,6343,0.8,,,,0,0,0,3,0,100,0,82,1.836,0:01:20
nAx9CF9V8YY,Add Additives,"Jan 24, 2025",167,82,,67.85,798,2.76,,,,0,0,0,4,0,100,0,82,2.5809,0:01:53
HdKksSQdv_U,Zep Tepi,"Apr 4, 2025",256,81,,70.81,756,3.17,,,,0,0,0,4,0,100,0,81,4.0788,0:03:01
mv53vG1U3Rc,Dumb Instrumental Too,"Aug 14, 2024",157,81,,55.78,1343,2.9,,,,0,0,0,3,0,100,0,81,1.9706,0:01:27
ni0WmevppoQ,Dont Cool My Engines,"Jan 19, 2025",127,80,,80.01,595,2.69,,,,0,0,0,2,0,100,0,80,2.2579,0:01:41
5K_66Gvpo_0,The Sun Is Falling Down on a Small Town,"Oct 10, 2023",362,79,,143.02,1613,2.05,,,,0,0,0,6,0,100,0,79,11.361,0:08:37
VsE9OEeuK3Y,"Exhaust, Dust, Twilight","Nov 9, 2023",241,79,,65.97,791,2.78,,,,0,0,0,3,0,100,0,79,3.4891,0:02:38
WskGk54Y2c0,Royale With Extra Cheese,"Jan 8, 2024",162,79,,33.5,3960,1.39,,,,0,0,0,4,0,100,0,79,1.1911,0:00:54
XFfWmFwA954,Over and Under Sucker,"Sep 2, 2024",236,79,,52.71,2289,1.18,,,,0,0,0,3,0,100,0,79,2.7298,0:02:04
LXeMs10bK80,Fade Fade Away,"Aug 29, 2024",181,78,,64.1,2817,1.03,,,,0,0,0,4,0,100,0,78,2.5137,0:01:56
PKIW-xv8YP4,Everything Is Computer!,"Apr 5, 2025",74,78,,70.18,1455,1.03,,,,0,0,0,4,0,100,0,78,1.1252,0:00:51
UYbg-YH4kRw,year of the kat - karma for the kats,"Oct 2, 2025",19,78,0,89.5,537,1.49,,,,3,0,0,0,0,,3,276,0.4218,0:00:17
ZHmvV0IH26U,fix a broken heart with glue and change your latitude too - the return of el ligardo,"Sep 30, 2025",27,78,0,122.83,886,1.02,,,,4,0,0,0,0,,4,336,0.7778,0:00:33
9Qa73fuF5jM,Chelsea Drug Store,"Aug 27, 2024",118,77,,74.26,939,2.66,,,,0,0,0,4,0,100,0,77,1.8744,0:01:27
AjcZcLea0No,Fm Am Radio,"Feb 23, 2024",162,77,,28.93,2129,1.6,,,,0,0,0,4,0,100,0,77,1.0025,0:00:46
Fz0l10Lpqs4,Audio 13,"Feb 29, 2024",219,76,,36.04,3005,1.16,,,,0,0,0,2,0,100,1,76,1.6664,0:01:18
gZ4ZvvwEiWI,Adak Blue Project 4,"Feb 2, 2024",234,76,,35.54,6527,0.8,,,,1,0,0,3,0,100,0,76,1.7557,0:01:23
klepAXQDNw0,Eau De Fromage,"Jan 16, 2024",118,75,,30.54,5227,1.03,,,,0,0,0,4,0,100,0,75,0.7507,0:00:36
sFWQ7gICkyk,It Appears as If You Are Experiencing Technical Difficulties,"Aug 12, 2024",229,75,,59.03,1067,2.81,,,,0,0,0,3,0,100,0,75,2.816,0:02:15
tPbotHgfGxI,Erupt Like a Hurricane,"Oct 13, 2023",228,75,,50.92,1899,2.53,,,,0,0,0,4,0,100,0,75,2.4186,0:01:56
Pu4rzXhcmg4,Pros and Cons of Daylight Savings Accounts,"Jul 4, 2025",202,74,,86.06,1384,1.16,,,,0,0,0,3,0,100,0,74,3.5735,0:02:53
dZ5RuQvzzqE,Dare You to Walk on Hot Coal,"Jun 19, 2024",92,74,,77.71,1044,3.93,,,,0,0,0,3,0,100,1,74,1.4696,0:01:11
sWy67eSKT6w,potion of flow - lidro larâgos,"Oct 6, 2025",18,74,0,85.38,250,4.8,,,,0,0,0,0,3,0,1,278,0.3952,0:00:15
KTJ5T46mLWg,This Is Untitled as of This Moment in Time,"Aug 29, 2024",174,73,,70.41,1302,1.31,,,,0,0,0,4,0,100,0,73,2.4842,0:02:02
S7gllmW-qjI,Project 2 (Babyblue),"Dec 19, 2023",299,73,,33.96,4853,0.95,,,,3,0,0,3,0,100,0,73,2.0588,0:01:41
f08z_6J1vgU,These Days,"Oct 21, 2023",250,73,,72.76,1001,3.4,,,,2,0,0,3,0,100,0,73,3.6883,0:03:01
opamTTJrN1U,Play Dead,"Feb 19, 2024",272,72,,28.51,4475,1.01,,,,0,0,0,3,0,100,0,72,1.5509,0:01:17
BcKtxelYI-8,unbreakable k(not) - lidro larâgos,"Oct 1, 2025",17,71,0,122.49,376,1.33,,,,4,0,0,0,1,0,4,303,0.4772,0:00:20
_fDUEj7Cwrc,Dumb Instrumental Number 23,"Dec 31, 2023",217,71,,24.36,3436,1.54,,,,1,0,0,6,0,100,0,71,1.0424,0:00:52
s70hBXb3WEg,Directions to the Garden of Eden by Any Chance?,"Jul 23, 2024",100,71,,68.17,1601,2.31,,,,0,0,0,1,0,100,0,71,1.3446,0:01:08
1WbaM1sllzM,the long way - karma for the kats,"Sep 28, 2025",13,70,0,101.92,414,3.38,,,,7,0,0,1,1,50,2,336,0.3285,0:00:13
EwXt8IAJJh0,Dumb Instrumental Numero Uno,"Jul 16, 2025",266,70,,46.17,5094,0.59,,,,0,0,0,2,0,100,0,70,2.388,0:02:02
FQ_HcEqkabg,tape fragment / Socotra 5°N 12°E — classified recording #1992 #ordinarybrokensounds,"Nov 6, 2025",18,70,0,165.31,142,6.34,,,,0,0,0,2,1,66.67,0,305,0.6331,0:00:29
Mga2mGFjqKE,Goodbye Sunny Day,"Dec 10, 2023",201,70,,74.35,651,4.76,,,,0,0,0,1,0,100,0,70,2.9059,0:02:29
T0JGKK2WRrM,papyrus - karma for the kats,"Oct 3, 2025",33,70,0,56.56,348,1.72,,,,0,0,0,0,1,0,6,209,0.4104,0:00:18
Zr5qYNRrUWI,Wake up You Survived the Plane Crash,"Nov 26, 2023",219,70,,69.25,649,3.24,,,,0,0,0,2,0,100,0,70,2.9488,0:02:31
G8a7PEl5RYY,I Found Myself Playing My Guitar at Sea,"Aug 29, 2024",183,68,,62.97,820,1.95,,,,0,0,0,4,0,100,0,68,2.1766,0:01:55
K9tYm7K7Xkc,Kind Regards to the Very Dastardly Bastard Masterchief Lc,"Aug 15, 2024",142,68,,73.82,635,4.09,,,,0,0,0,4,0,100,0,68,1.9801,0:01:44
KIaJWss4z7Y,Perpetual Motion Machine,"Feb 24, 2024",329,68,,30.96,2216,1.76,,,,0,0,0,2,1,66.67,1,68,1.924,0:01:41
RdY3r4eL_Uc,Track 7 8 or 9 Filler,"Jan 8, 2024",104,68,,47.69,7185,0.71,,,,1,0,0,4,0,100,0,68,0.9368,0:00:49
NmOeh3jhX74,6-String Heartstring,"Aug 27, 2024",118,67,,77.3,1511,1.13,,,,0,0,0,4,0,100,0,67,1.6977,0:01:31
e8EhHcOMRJI,Time Hurries On,"Aug 11, 2024",316,67,,51.09,1130,1.15,,,,0,0,0,5,0,100,0,67,3.0047,0:02:41
jMxZ_vpuVOI,Shed My Skin for the 7th Time,"Dec 18, 2023",363,67,,45.48,2535,1.58,,,,1,0,0,2,0,100,0,67,3.0728,0:02:45
JASrRCs34eE,Sasebo Japan December 1996,"Feb 12, 2024",195,66,,21.22,8573,0.66,,,,0,0,0,4,0,100,0,66,0.7584,0:00:41
JzRzdmOu9LY,and to the lc - lidro larâgos,"Sep 30, 2025",6,66,0,195.79,414,1.93,,,,4,0,0,1,0,100,6,340,0.2713,0:00:11
W9Kuh9Va18M,The Ginza,"Sep 10, 2024",192,66,,61.41,1021,1.27,,,,0,0,0,3,0,100,0,66,2.1615,0:01:57
eI88bOpMdmU,the gift of concussion - lidro larâgos,"Oct 5, 2025",15,66,0,131.63,335,4.18,,,,8,0,0,0,0,,2,264,0.4156,0:00:19
OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,65,0,200.9,179,8.94,,,,0,0,0,0,1,0,0,348,0.8443,0:00:42
bFVIvcMyVGY,anyone for chess? (new years eve 1999) | the return of el ligardo,"Oct 21, 2025",60,64,0,69.34,277,4.33,,,,0,0,0,0,0,,0,207,0.7779,0:00:41
hPtMDrUApyU,See You on the Otherside,"Oct 7, 2023",214,64,,56.31,845,3.79,,,,0,0,0,3,0,100,0,64,2.1424,0:02:00
gMCdsYHh-Ns,23 Pieces of Blue,"Feb 23, 2024",152,63,,38.83,8677,0.53,,,,0,0,0,3,0,100,0,63,1.033,0:00:59
xed771BzVLs,Audio 35,"Feb 28, 2024",175,63,,46.13,2282,1.4,,,,0,0,0,2,0,100,0,63,1.4127,0:01:20
DTQfahQTcPM,Unbreakable K (Not),"Jul 1, 2024",237,62,,40.95,1398,2,,,,1,0,0,3,0,100,0,62,1.6716,0:01:37
wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,62,0,162.95,225,5.33,,,,0,0,0,0,0,,1,332,0.6713,0:00:34
2Aso9d96uTE,Everyday Is Breaking into Sunshine,"Aug 27, 2024",154,61,,77.16,808,1.24,,,,0,0,0,3,0,100,0,61,2.0134,0:01:58
Dgd0vbi0HRg,low and then high and then low - the return if el ligardo,"Oct 9, 2025",18,61,0,120.47,252,1.98,,,,5,0,0,0,0,,1,206,0.4094,0:00:21
HUaM0D4vNdo,My Future Ruination Has Arrived,"Dec 10, 2023",285,61,,69.62,559,1.97,,,,0,0,0,2,0,100,0,61,3.362,0:03:18
MqdxQnoKwqk,big yellow sun - the return of el ligardo,"Oct 2, 2025",28,61,0,100.09,380,1.84,,,,7,0,0,1,0,100,5,227,0.5186,0:00:28
i3kdkoR_xnA,Its Called Across the Water,"Aug 11, 2024",222,61,,52.63,1803,1.55,,,,0,0,0,3,0,100,0,61,1.9798,0:01:56
BJLivqGugzo,Some Ledgers Are Crueler Than Other Ledgers,"Feb 10, 2024",112,60,,36.59,4778,1,,,,0,0,0,3,0,100,1,60,0.683,0:00:40
26H5rELRgiQ,Lucky Road,"Jul 20, 2024",184,59,,43.05,1464,2.46,,,,0,0,0,2,0,100,0,59,1.2981,0:01:19
CXFEccWgPp4,I Am a Doorstep,"Jun 5, 2024",103,59,,73.36,869,1.84,,,,0,0,0,1,0,100,0,59,1.2384,0:01:15
Dxx1T5UjcCw,Hope That You Have a Beautiful Life,"Apr 17, 2024",238,59,,45.31,1978,1.31,,,,0,0,0,2,0,100,0,59,1.7672,0:01:47
g0FXWUHrPJg,I Miss the One I Love,"Sep 22, 2023",265,59,,31.6,399,3.26,,,,0,0,0,4,0,100,0,59,1.3725,0:01:23
pvwIxXAJQTQ,nature doesn’t always heal. sometimes it bites back,"Nov 9, 2025",18,59,0,122.47,101,9.9,,,,0,0,0,0,0,,0,257,0.4189,0:00:22
B-yCvNLnxas,Creep 2,"Jan 17, 2024",228,58,,53.88,1097,2.64,,,,0,0,0,4,0,100,0,58,1.9791,0:02:02
pNgdpCSqJ74,The Problems All Inside Your Head She Said She Said,"Jul 26, 2025",336,58,,78.44,911,2.2,,,,0,0,0,4,0,100,0,58,4.246,0:04:23
xlScmFGeugw,Be Kind Fuckface.,"Aug 29, 2024",193,56,,74.62,448,4.24,,,,0,0,0,4,0,100,0,56,2.2404,0:02:24
zRbyJGaKZR8,Wind Against My Back,"Oct 20, 2023",179,56,,76.06,750,2.53,,,,0,0,0,2,0,100,0,56,2.1179,0:02:16
161xeYvaWhQ,Underwhelmed but Like Overwhelmed Too,"Oct 18, 2023",183,55,,76.18,672,3.42,,,,0,0,0,2,0,100,0,55,2.1298,0:02:19
CsMrGOUJMNo,Audio 25,"Feb 29, 2024",158,54,,42.92,1022,2.25,,,,0,0,0,2,0,100,0,54,1.0173,0:01:07
XbpG-GLyZVE,Overthinkoutloud,"Jun 22, 2024",103,54,,71.86,796,2.51,,,,0,0,0,2,1,66.67,0,54,1.1102,0:01:14
jzxHTUgUdbI,North Texas Gray,"Oct 27, 2023",385,54,,36.68,1621,1.91,,,,0,0,0,3,0,100,0,54,2.1183,0:02:21
nKCfkbFgxVU,Typhoon Weather,"Oct 20, 2023",166,54,,65.9,495,2.63,,,,0,0,0,3,0,100,0,54,1.641,0:01:49
v9-6VxVM2I4,Cigarettes & Beer,"Jul 3, 2024",236,54,,61.29,1074,2.05,,,,0,0,0,3,0,100,0,54,2.1697,0:02:24
wASZX4jFrfg,Dumb Instrumental 23,"Feb 5, 2024",209,54,,30.04,1264,2.22,,,,0,0,0,3,1,75,0,54,0.9417,0:01:02
egHW9WOjiFg,see you on the otherside - the return of el ligardo,"Sep 28, 2025",18,53,0,199.69,551,2,,,,12,0,0,0,0,,3,160,0.5546,0:00:35
w9G2xpKw9KY,I Misplaced Some Light,"Nov 7, 2023",193,53,,74.13,716,2.23,,,,4,0,0,2,0,100,0,53,2.1062,0:02:23
xnP7T0RzyxU,When I Was Dead — the return of el ligardo,"Oct 16, 2025",15,53,1,141.65,210,3.81,,,,0,1,0,0,1,0,1,267,0.362,0:00:21
8tVjOx3W_po,A Warrior Red,"Jun 4, 2024",108,52,,86.49,598,2.84,,,,0,0,0,2,0,100,0,52,1.3492,0:01:33
BO9szlszD8s,Bullet Train in the Rain,"Feb 28, 2024",168,52,,42.06,1794,1.28,,,,0,0,0,2,0,100,0,52,1.0205,0:01:10
L0IE6KrrF0k,Youre Such a Drag,"Aug 8, 2024",429,52,,41.85,1344,2.46,,,,0,0,0,2,0,100,0,52,2.5936,0:02:59
U7mTDbolEH0,driving and crying and driving | garagebanned,"Oct 31, 2025",20,52,0,165.47,158,8.86,,,,0,0,0,1,0,100,0,279,0.5366,0:00:33
er5u3lu8IoE,Fading Faster,"Feb 24, 2024",204,52,,49.04,3886,0.57,,,,0,0,0,2,0,100,0,52,1.4451,0:01:40
HnyVtdlwQT8,float | garagebanned,"Nov 3, 2025",17,51,0,204.3,116,10.34,,,,0,0,0,0,0,,0,242,0.5409,0:00:34
Wk0b1UH0afE,The Rain Collector,"Oct 19, 2023",332,51,,64.6,619,2.58,,,,1,0,0,2,0,100,0,51,3.0382,0:03:34
GX9RUPyp358,Acoustic Sun Last Rendering,"Jul 24, 2025",94,50,,88.82,621,1.93,,,,0,0,0,2,0,100,0,50,1.1596,0:01:23
PG2XR6GdsF0,Angel Wing Left Wing Right Wing Broken Wing,"Feb 17, 2024",344,50,,29.85,3551,0.84,,,,1,0,0,2,0,100,0,50,1.426,0:01:42
Pe8zWoj8Rzc,the ghost of robert zimmerman - the return of el ligardo,"Oct 3, 2025",16,49,0,138.12,634,1.89,,,,3,0,0,1,0,100,5,113,0.3052,0:00:22
Pq2_3G7PUKI,Dont Cut Yourself Blue,"Jul 30, 2024",133,49,,76.82,614,2.93,,,,0,0,0,2,0,100,0,49,1.3906,0:01:42
UWTxdixY9PM,I Took the Dare to Walk on Superhot Coal,"Jul 8, 2024",151,49,,51.2,1505,1.93,,,,0,0,0,2,0,100,0,49,1.0522,0:01:17
bMTEmlyHHtA,Low on Gas Another 33 Miles to Go,"Aug 20, 2024",156,49,,67.88,461,1.74,,,,0,0,0,4,0,100,0,49,1.4414,0:01:45
c8OpcVgEFZ8,North Texas Gray,"Oct 18, 2023",249,49,,52.62,1551,2.06,,,,1,0,0,2,0,100,0,49,1.7833,0:02:11
fMqF1XUqbqs,Strange How the Day Moves,"Jun 19, 2024",131,49,,74.92,611,2.62,,,,0,0,0,3,0,100,0,49,1.3359,0:01:38
ukYxjz6wPao,The Abyss Looks Back,"Feb 24, 2024",201,49,,47.9,2236,1.03,,,,0,0,0,5,0,100,0,49,1.3106,0:01:36
SNdM7lIMi_0,Royale With Extra Cheese,"Dec 31, 2023",162,48,,24.23,3157,1.24,,,,0,0,0,3,0,100,0,48,0.5235,0:00:39
ZYSLR8kIOsE,Track 7 8 or 9 Filler,"Dec 31, 2023",104,48,,34.89,7207,0.57,,,,0,0,0,3,0,100,0,48,0.4839,0:00:36
_fQE-Z4rDTA,Daydream Non-Believer,"Jun 4, 2024",138,48,,74.15,701,1.57,,,,0,0,0,3,0,100,0,48,1.3643,0:01:42
SEgkwivaJiQ,The Gift of Concussion,"Sep 10, 2023",170,47,,51.41,1271,1.89,,,,0,0,0,3,0,100,0,47,1.1409,0:01:27
TkzwDibeCLU,Come on In,"Oct 13, 2023",230,47,,58.67,719,2.23,,,,0,0,0,1,0,100,0,47,1.7618,0:02:14
nI2mLayXQTk,Stranded in the Neutron Zone,"Sep 21, 2023",219,47,,40.14,1033,2.42,,,,1,0,0,0,0,,0,47,1.1476,0:01:27
wjSetdkoJZU,Expert Time Waster 2,"Jan 25, 2024",174,47,,29.96,2111,1.47,,,,0,0,0,3,0,100,0,47,0.6807,0:00:52
yYwiXGJSZLE,I Totally Fucked That Up,"Dec 22, 2023",162,47,,76.24,524,3.63,,,,0,0,0,5,0,100,3,47,1.6125,0:02:03
2GffF0fHCsk,lightning breaks over the pyramid as the band finds its voltage,"Nov 7, 2025",20,46,0,186.44,131,6.87,,,,0,0,0,0,0,,0,243,0.541,0:00:37
4oV7-HYa_Xk,Sunday Driver,"Jun 25, 2024",130,46,,70.36,930,2.37,,,,0,0,0,1,0,100,0,46,1.1687,0:01:31
BlaojIMY1f8,And Then Everything Changed,"Aug 18, 2024",162,46,,80.04,552,2.54,,,,0,0,0,4,0,100,0,46,1.6568,0:02:09
Cqd6Jkh5OPA,Wheatfield | The Return of El Ligardo - live 🫣  #ordinarybrokensounds #thereturnofelligardo #shorts,"Oct 28, 2025",26,46,0,119.19,216,3.7,,,,0,0,0,1,1,50,0,134,0.417,0:00:30
IQx1gddHxPk,Mountaintop Valley Stream,"Jul 4, 2024",167,46,,62.31,1966,0.86,,,,2,0,0,3,0,100,0,46,1.3297,0:01:44
3Ek5S82oJzo,Mudhouses,"Jul 9, 2024",201,45,,59.42,833,1.44,,,,0,0,0,2,0,100,0,45,1.4929,0:01:59
A-nnwn7ecRY,Youth Is Wasted on the Dreamers,"Jul 16, 2024",175,45,,69.84,756,2.65,,,,0,0,0,3,0,100,0,45,1.5277,0:02:02
_QFNNvxEk2g,Art of Zen (Cutthroat Blend),"Sep 22, 2023",146,45,,46.9,909,2.31,,,,0,0,0,5,0,100,0,45,0.856,0:01:08
mywrZ_ukDsQ,Slip and Slide,"Sep 1, 2025",181,45,,59.86,625,2.56,,,,1,0,0,0,0,,0,45,1.3544,0:01:48
 -NfxU4MyLNM,Sorrow (In D Minor of Course),"Oct 8, 2023",220,44,,68.63,561,2.32,,,,0,0,0,3,0,100,0,44,1.8453,0:02:30
7yCkaVb6w5k,Resigned,"Feb 13, 2024",198,44,,35.51,1347,1.93,,,,0,0,0,2,0,100,0,44,0.8592,0:01:10
QkqVFTDwOhQ,stale cigarettes - lidro larâgos,"Oct 12, 2025",16,44,0,294.35,217,3.69,,,,0,0,0,0,1,0,1,124,0.5759,0:00:47
TasGLV6rFX0,The Sun King (Three Miles out of a Dream),"Oct 28, 2023",237,44,,51.54,723,1.94,,,,0,0,0,2,0,100,0,44,1.4931,0:02:02
XYoeNCu2ohY,Nothing Like the Sun,"Feb 19, 2024",155,44,,20.85,2532,1.03,,,,0,0,0,2,0,100,0,44,0.395,0:00:32
gA3EJyN-mjU,Automatic Pilot Failure,"Nov 3, 2023",278,44,,68.71,675,1.78,,,,0,0,0,1,0,100,0,44,2.3345,0:03:11
gEkXMYWitKQ,Dumb Instrumental 7,"Oct 27, 2023",153,44,,64.15,670,1.64,,,,0,0,0,2,0,100,0,44,1.1996,0:01:38
qsKNiAF-u08,how? low?? | surreal short film | karma for the kats,"Sep 29, 2025",10,44,0,174.95,345,2.61,,,,1,0,0,0,0,,3,153,0.2335,0:00:17
iv_VOMGqjIY,Erupt Like a Hurricane,"Nov 1, 2023",228,43,,53.73,938,1.39,,,,0,0,0,2,0,100,0,43,1.4633,0:02:02
